--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE241      25     0.2800     0.6800     0.1435     1.8000    2.5690    
SITE244      12     0.3333     0.7500     0.6378     1.3333    1.7795    
SITE245      15     0.2000     0.5333     -0.4429    2.7333    3.5308    
SITE251      11     0.1818     0.4545     -0.4099    2.6364    3.1766    
SITE253      30     0.2000     0.7000     -0.2030    2.0333    2.7264    
SITE256      5      0.2000     0.4000     -1.8879    3.0000    3.6606    
SITE258      12     0.3333     0.8333     0.4444     1.3333    1.8257    
SITE259      9      0.6667     0.8889     0.7919     0.7778    1.5275    
SITE261      15     0.5333     0.6000     -0.1373    1.9333    3.0876    
SITE262      20     0.4000     0.8000     0.1257     1.4000    2.1909    
SITE268      13     0.3846     0.6154     -0.0258    2.0000    2.9089    
SITE272      13     0.3077     0.6154     0.2056     2.0000    2.6018    
SITE276      12     0.5000     0.8333     -0.0252    1.1667    1.9149    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.8000     0.0234     1.6000    3.1623    
SITE309      13     0.4615     0.7692     0.6247     1.2308    1.8397    
SITE310      7      0.4286     0.7143     -0.5160    2.1429    3.4017    
SITE322      9      0.5556     0.7778     -0.1685    1.2222    2.2852    
SITE323      9      0.6667     0.8889     0.2708     1.0000    2.1344    
SITE324      17     0.4118     0.7059     0.3672     1.5882    2.3639    
SITE325      8      0.5000     0.8750     0.3696     1.5000    2.6926    
SITE327      16     0.5625     0.8750     0.4927     1.1250    2.1213    
SITE330      14     0.5000     0.7143     0.0537     1.5000    2.4349    
SITE331      7      0.5714     0.5714     -0.1541    1.8571    2.9520    
SITE332      9      0.5556     0.6667     -2.7088    1.6667    2.8868    
SITE333      5      0.8000     0.8000     -0.3333    0.8000    1.7889    
SITE334      12     0.4167     0.5833     -0.5441    2.2500    3.2532    
SITE336      5      0.4000     0.8000     -2.4375    2.0000    2.9665    
SITE338      5      0.4000     0.8000     -0.7500    1.2000    1.6733    
SITE339      8      0.3750     0.7500     0.4652     1.2500    1.7321    
SITE340      12     0.2500     0.5000     -0.3640    2.1667    2.7988    
SITE343      12     0.5000     0.6667     0.3993     1.2500    1.9365    
SITE345      7      0.5714     0.7143     0.0993     1.2857    2.2361    
SITE353      8      0.7500     0.8750     0.7802     0.5000    1.1180    
SITE355      9      0.6667     0.7778     0.0952     1.4444    2.8868    
SITE358      14     0.4286     0.7857     0.5414     1.1429    1.6475    
SITE360      8      0.6250     0.8750     0.5701     0.7500    1.5000    
SITE361      7      0.4286     0.7143     0.4209     1.2857    1.8127    
SITE362      11     0.5455     0.8182     0.4206     1.3636    2.4680    
SITE363      11     0.6364     0.7273     0.1578     1.1818    2.1106    
SITE366      12     0.3333     0.4167     -0.5751    2.5833    3.4034    
SITE367      8      0.6250     0.6250     0.3265     1.3750    2.2638    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.5556     0.7778     0.6296     0.8889    1.4907    
SITE377      12     0.6667     0.8333     0.4613     1.0000    1.8257    
SITE380      8      0.3750     0.6250     -0.0497    2.0000    2.8723    
SITE383      4      0.5000     0.7500     0.2778     1.2500    1.8028    
SITE385      9      0.5556     0.6667     -0.0357    1.5556    2.5386    
SITE386      11     0.6364     0.9091     0.7863     0.6364    1.1677    
SITE388      7      0.4286     0.7143     -0.2573    1.5714    2.2991    
SITE389      11     0.6364     0.8182     0.3792     1.0909    2.1320    
SITE397      14     0.5000     0.8571     0.6763     1.0000    1.5119    
SITE401      7      0.5714     0.7143     -0.3295    1.5714    2.6458    
SITE404      6      0.6667     0.8333     0.3500     1.0000    2.0817    
SITE406      6      0.5000     0.6667     -0.0760    1.8333    3.1358    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2069     0.6552     -0.4746    2.0000    2.5731    
SITE417      24     0.2917     0.7500     -0.0990    1.7083    2.5900    
SITE420      15     0.1333     0.6667     -0.7664    2.2667    2.8983    
SITE421      11     0.3636     0.4545     -0.7819    2.7273    3.6927    
SITE422      13     0.1538     0.6923     -0.0585    2.0000    2.4495    
SITE424      6      0.5000     0.5000     -0.6210    2.1667    3.3417    
SITE426      15     0.4667     0.7333     0.3935     1.3333    2.0000    
SITE430      9      0.5556     0.7778     0.3450     1.6667    2.9250    
SITE434      12     0.5000     0.5833     -0.2195    1.8333    2.8868    
SITE435      9      0.6667     0.7778     0.4538     1.1111    2.1602    
SITE437      18     0.3333     0.6111     -1.1930    2.6111    3.7639    
SITE438      15     0.2000     0.8000     -0.6071    2.0000    2.7568    
SITE439      13     0.4615     0.6923     0.1321     1.6923    2.6602    
SITE442      19     0.4211     0.8947     0.2965     1.3158    2.3283    
SITE443      6      0.6667     0.6667     0.5108     1.3333    2.3805    
SITE446      18     0.2222     0.5000     -1.0374    3.2778    4.2622    
SITE447      5      0.2000     0.4000     -0.1916    2.6000    3.1937    
SITE454      7      0.7143     0.7143     -0.1905    1.4286    2.6726    
SITE455      9      0.4444     0.5556     -0.5279    2.6667    4.0277    
SITE460      4      0.2500     0.7500     0.4474     1.7500    2.2913    
SITE461      5      0.4000     0.8000     0.4643     1.6000    2.1909    
SITE463      6      0.3333     1.0000     0.7009     1.3333    1.6330    
SITE464      8      0.6250     1.0000     0.8964     0.6250    1.0607    
SITE468      6      0.5000     0.8333     -0.1786    1.6667    2.7080    
SITE469      4      0.7500     1.0000     -0.4545    0.5000    1.0000    
SITE471      17     0.5882     0.6471     0.3144     1.5294    2.5205    
SITE474      6      0.5000     0.6667     -0.5733    1.8333    3.1358    
SITE477      14     0.4286     0.7143     -0.0769    1.8571    2.9277    
SITE483      9      0.4444     0.7778     0.5811     1.2222    1.8559    
SITE485      10     0.5000     1.0000     0.8882     0.7000    1.0488    
SITE486      6      0.6667     1.0000     0.9273     0.3333    0.5774    
SITE490      13     0.5385     0.7692     0.4758     1.0769    1.7541    
SITE492      6      0.5000     0.8333     -0.2135    1.0000    1.7321    
SITE506      10     0.7000     0.8000     0.4058     0.9000    1.8708    
SITE508      27     0.5556     0.7778     0.4221     1.2963    2.2027    
SITE510      6      0.5000     0.5000     -1.7554    2.8333    4.2230    
SITE520      16     0.4375     0.6875     0.4844     1.3125    1.9203    
SITE521      17     0.5294     0.7647     0.5833     1.2941    2.1693    
SITE522      18     0.4444     0.6667     -0.0937    1.8889    3.0368    
SITE528      11     0.6364     0.8182     0.1845     1.0000    2.0671    
SITE538      7      0.5714     0.7143     0.1278     2.0000    3.3381    
SITE539      7      0.5714     0.8571     0.7644     0.8571    1.4142    
