--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE75       13     0.2308     0.6154     -0.1112    2.0769    2.6747    
SITE76       7      0.1429     0.4286     -1.5651    4.4286    5.6695    
SITE78       11     0.0909     0.4545     -0.8393    3.6364    4.3064    
SITE80       6      0.5000     0.5000     -0.7918    2.8333    4.2622    
SITE81       10     0.2000     0.6000     -1.4310    3.3000    4.3012    
SITE84       16     0.1875     0.6875     -0.1525    1.7500    2.0616    
SITE86       10     0.2000     0.7000     -0.0526    2.0000    2.6833    
SITE94       21     0.3810     0.5714     -0.8821    2.3810    3.4778    
SITE95       6      0.3333     0.3333     -1.1782    3.8333    5.2122    
SITE96       6      0.1667     0.1667     -2.4545    4.5000    5.3385    
SITE97       7      0.1429     0.5714     -0.2534    3.8571    4.7660    
SITE98       20     0.1500     0.4500     -1.2206    3.1000    3.9115    
SITE104      12     0.2500     0.6667     -0.4551    1.9167    2.5331    
SITE106      14     0.2143     0.4286     -1.2604    3.4286    4.2088    
SITE111      15     0.2000     0.4667     -0.1029    2.4000    3.0551    
SITE115      17     0.1765     0.4706     -1.4337    3.0588    3.9853    
SITE116      14     0.0714     0.5714     -0.0170    2.3571    2.7646    
SITE117      24     0.2083     0.6667     -0.8769    2.1250    2.8650    
SITE119      12     0.2500     0.5833     -0.0309    2.3333    2.8868    
SITE125      8      0.1250     0.2500     -3.4052    5.3750    6.1135    
SITE127      16     0.1875     0.6875     -0.2000    1.8750    2.4495    
SITE128      18     0.1667     0.5000     -0.6288    2.6111    3.3082    
SITE129      15     0.2000     0.4000     -1.3966    3.4667    4.3665    
SITE132      8      0.2500     0.7500     -0.3112    2.1250    3.3354    
SITE134      9      0.3333     0.3333     -1.4254    3.2222    4.2032    
SITE156      17     0.2353     0.4118     -0.5203    2.5882    3.2176    
SITE160      10     0.3000     0.6000     -0.5239    2.3000    3.2404    
SITE161      14     0.2857     0.5714     -0.3125    2.1429    2.9277    
SITE165      7      0.2857     0.5714     -0.0973    2.2857    2.8785    
SITE167      11     0.1818     0.9091     -0.0120    1.7273    2.5045    
SITE168      10     0.2000     0.4000     -1.1332    3.7000    4.5277    
SITE169      14     0.2857     0.4286     -0.8232    2.7143    3.4017    
SITE171      14     0.2857     0.5714     -1.0351    2.5714    3.6056    
SITE178      12     0.2500     0.6667     -0.0213    1.8333    2.3094    
SITE179      27     0.1852     0.6296     -0.0294    1.9630    2.4114    
SITE186      19     0.2105     0.4737     -0.4316    2.7895    3.5467    
SITE193      15     0.3333     0.5333     -0.9733    3.0667    4.3665    
SITE194      18     0.2222     0.5556     -1.5378    2.5556    3.2830    
SITE198      14     0.3571     0.6429     -0.9221    2.1429    3.0938    
SITE203      33     0.2727     0.5758     -0.8018    2.6364    3.5887    
SITE205      24     0.1667     0.5417     -0.3963    2.4167    2.9721    
SITE207      12     0.2500     0.8333     -0.0162    1.4167    1.9791    
SITE208      13     0.1538     0.4615     -0.0451    2.4615    2.9613    
SITE209      8      0.1250     0.3750     -1.6177    3.1250    3.6572    
SITE212      9      0.2222     0.5556     -0.0018    2.1111    2.6458    
SITE215      33     0.3636     0.5758     -0.8755    2.6364    3.7699    
SITE217      16     0.1250     0.7500     -0.3333    2.1250    3.0000    
SITE219      15     0.2000     0.4000     -0.8622    3.1333    3.8210    
SITE229      14     0.2143     0.4286     -0.0644    2.4286    2.9032    
SITE230      11     0.2727     0.5455     -0.5777    2.8182    4.0564    
SITE231      7      0.1429     0.2857     -3.0833    5.2857    6.0828    
SITE234      11     0.2727     0.7273     -0.0239    1.3636    1.7838    
SITE239      15     0.1333     0.6667     -0.5000    2.5333    3.4641    
SITE240      14     0.2143     0.5714     -0.6335    2.6429    3.5557    
SITE241      25     0.2800     0.6000     -0.5833    2.4400    3.4928    
SITE244      12     0.1667     0.4167     -1.3352    3.5833    4.5185    
SITE245      15     0.2000     0.4667     -0.7824    3.0000    3.9243    
SITE251      11     0.1818     0.5455     -0.0416    2.1818    2.7303    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      12     0.2500     0.5833     -0.6667    2.3333    3.1623    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.2667     0.5333     -0.9804    3.0000    4.0743    
SITE262      20     0.2500     0.7500     -0.1475    1.8000    2.5100    
SITE268      13     0.2308     0.4615     -0.7346    2.9231    3.7826    
SITE272      13     0.1538     0.3077     -2.1778    4.3077    5.2035    
SITE276      12     0.2500     0.7500     -0.2350    1.5833    2.1016    
