predicted,truth,output,top,path
6,3,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094790905714035,2025-02-14-15-24-27/SITE207_ORNT235_VIS4mi.png
6,5,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093709081411362,2025-01-31-13-49-43/SITE557_ORNT191_VIS6mi.png
6,0,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009145975112915,2025-02-04-15-47-48/SITE801_ORNT255_VIS1mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0999, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092173516750336,2025-03-31-13-29-12/SITE521_ORNT240_VIS1-5mi.png
6,5,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092660039663315,2024-09-08-13-07-06/SITE557_ORNT8_VIS6mi.png
6,5,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0999, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091053694486618,2025-02-05-13-59-56/SITE397_ORNT145_VIS6mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10096144676208496,2025-04-16-13-54-24/SITE96_ORNT135_VIS5mi.png
6,4,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094550997018814,2024-08-02-20-27-22/SITE111_ORNT181_VIS5mi.png
6,9,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009458377957344,2025-01-26-15-53-06/SITE602_ORNT60_VIS10+mi.png
6,3,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095138847827911,2024-08-02-13-37-25/SITE19_ORNT170_VIS4mi.png
6,9,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0999, 0.1001, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093957185745239,2025-03-26-14-35-40/SITE119_ORNT96_VIS10+mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009409949183464,2025-02-14-15-24-27/SITE50_ORNT103_VIS3mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10096144676208496,2025-02-17-14-46-26/SITE40_ORNT295_VIS7mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095266252756119,2024-05-31-11-53-14/SITE66_ORNT95_VIS1mi.png
6,5,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093899816274643,2024-10-10-15-17-15/SITE128_ORNT135_VIS6mi.png
