epoch,accuracy,precision,recall,F1,AUC,expectedCE,maxCE,RMSCE,QWK,loss
1,0.0964467003941536,0.0598546639084816,0.09649127721786499,0.06073211506009102,0.49295392632484436,0.010495558381080627,0.010495558381080627,0.010495558381080627,-0.011124253273010254,3.2802487746914872
2,0.09380287677049637,0.07426668703556061,0.09381858259439468,0.07947524636983871,0.4954832196235657,0.010861672461032867,0.010861672461032867,0.010861672461032867,-0.002463817596435547,3.2958626799575352
3,0.102157361805439,0.1025555282831192,0.1021631583571434,0.08136169612407684,0.5004009008407593,0.0016918554902076721,0.0016918554902076721,0.0016918554902076721,0.0016369223594665527,3.301552262604741
4,0.09602368623018265,0.09581060707569122,0.09600368142127991,0.06818127632141113,0.4950287938117981,0.008425354957580566,0.008425354957580566,0.008425354957580566,0.0076860785484313965,3.3052570662522696
5,0.09623519331216812,0.08645190298557281,0.0962381437420845,0.08180033415555954,0.49095526337623596,0.006828635931015015,0.006828635931015015,0.006828635931015015,-0.00013315677642822266,3.3053216627608277
6,0.09063028544187546,0.09017954766750336,0.0906265527009964,0.08048874139785767,0.4903697967529297,0.011906251311302185,0.011906251311302185,0.011906251311302185,-0.007869958877563477,3.3046087286799093
7,0.09718696773052216,0.10557836294174194,0.09717879444360733,0.07238028943538666,0.49363651871681213,0.005500480532646179,0.005500480532646179,0.005500480532646179,-0.009888172149658203,3.304873730325457
8,0.09612943977117538,0.09468603134155273,0.09609831124544144,0.07602033764123917,0.48872512578964233,0.006171025335788727,0.006171025335788727,0.006171025335788727,-0.010747432708740234,3.304993057412344
9,0.09316835552453995,0.08511185646057129,0.09314115345478058,0.06700138747692108,0.4913724958896637,0.009120874106884003,0.009120874106884003,0.009120874106884003,-0.014005899429321289,3.3049919302693476
10,0.09919627755880356,0.09207911789417267,0.09920400381088257,0.06834881007671356,0.4910427927970886,0.003243550658226013,0.003243550658226013,0.003243550658226013,0.010338068008422852,3.304296843694956
11,0.09581217914819717,0.08008111268281937,0.09578878432512283,0.06162519007921219,0.4890630841255188,0.006426408886909485,0.006426408886909485,0.006426408886909485,0.001471877098083496,3.3044739124536937
12,0.09242808818817139,0.07278885692358017,0.09242356568574905,0.06876595318317413,0.4858394265174866,0.038121070712804794,0.0381508395075798,0.038125455379486084,-0.0036802291870117188,3.304966724866942
13,0.09158206731081009,0.08601995557546616,0.09156002849340439,0.06426917016506195,0.491034597158432,0.01051919162273407,0.01051919162273407,0.01051919162273407,-0.007984399795532227,3.3036198031075337
14,0.09380287677049637,0.08599377423524857,0.09380874782800674,0.07659436017274857,0.48941412568092346,0.007942065596580505,0.007942065596580505,0.007942065596580505,-0.031951904296875,3.306766116276206
15,0.09422589093446732,0.08366288244724274,0.09423236548900604,0.07370880991220474,0.48828524351119995,0.007892034947872162,0.007892034947872162,0.007892034947872162,-0.0039064884185791016,3.3024269570352263
16,0.0935913696885109,0.07969899475574493,0.09362377226352692,0.06491094082593918,0.48411059379577637,0.045765846967697144,0.045765846967697144,0.045765846967697144,0.003767073154449463,3.3043789278633886
17,0.0898900181055069,0.07810096442699432,0.08989082276821136,0.07066912949085236,0.486642450094223,0.011628277599811554,0.011628277599811554,0.011628277599811554,-0.015376925468444824,3.3043229402422725
18,0.09570643305778503,0.06860187649726868,0.0957188680768013,0.06526263058185577,0.48347729444503784,0.0467684343457222,0.046770185232162476,0.0467684380710125,-0.0014978647232055664,3.303744199917402
19,0.09803299605846405,0.06864640861749649,0.09802712500095367,0.05779030919075012,0.48300647735595703,0.049582138657569885,0.049582138657569885,0.049582138657569885,0.004188060760498047,3.303726325382031
20,0.09729272127151489,0.08967813104391098,0.09728828072547913,0.07633276283740997,0.4879510998725891,0.004283495247364044,0.004283495247364044,0.004283495247364044,0.019029200077056885,3.3057572022710784
21,0.09549492597579956,0.0906415581703186,0.09551103413105011,0.07090429216623306,0.4833388328552246,0.006061121821403503,0.006061121821403503,0.006061121821403503,-0.018627166748046875,3.3039296677874996
22,0.09496615827083588,0.06246144324541092,0.09493115544319153,0.052421629428863525,0.4859789311885834,0.046935684978961945,0.046935684978961945,0.046935684978961945,-0.02314770221710205,3.3036520545656125
23,0.09041877835988998,0.06253736466169357,0.09039700031280518,0.06302735954523087,0.48214325308799744,0.045181889086961746,0.045181889086961746,0.045181889086961746,-0.013823151588439941,3.3033726626846387
24,0.09570643305778503,0.06651882827281952,0.0956704393029213,0.0534566268324852,0.481623113155365,0.0480983667075634,0.0480983667075634,0.0480983667075634,-0.007668495178222656,3.3035418930795997
25,0.09612943977117538,0.055218905210494995,0.09612850844860077,0.06394389271736145,0.4792419970035553,0.05096973851323128,0.05096973851323128,0.05096973851323128,-0.0027638673782348633,3.3039162522040044
26,0.09158206731081009,0.05474679544568062,0.09155385196208954,0.06090667098760605,0.48032063245773315,0.04511445388197899,0.04511445388197899,0.04511445388197899,-0.0068503618240356445,3.3035884056801326
27,0.08893824368715286,0.051512546837329865,0.08894749730825424,0.055907242000103,0.482656329870224,0.04489082470536232,0.04489082470536232,0.04489082470536232,-0.02020430564880371,3.3030958599245506
28,0.09221658110618591,0.05109591409564018,0.09222918003797531,0.05554888769984245,0.4771621823310852,0.0498342290520668,0.0498342290520668,0.0498342290520668,-0.008208394050598145,3.3033640933319206
29,0.0935913696885109,0.051251351833343506,0.09358446300029755,0.06076368689537048,0.482903391122818,0.04730682075023651,0.04730682075023651,0.04730682075023651,-0.011271357536315918,3.3032432473855553
30,0.08957275748252869,0.06172525882720947,0.08959775418043137,0.06593873351812363,0.47969985008239746,0.04719701036810875,0.04719701036810875,0.04719701036810875,-0.010108709335327148,3.3031648096901076
31,0.09507191181182861,0.042676765471696854,0.09508047997951508,0.05064954608678818,0.48235026001930237,0.05137871950864792,0.05137871950864792,0.05137871950864792,-0.0086899995803833,3.3028006134097723
32,0.09549492597579956,0.04632273688912392,0.09551136195659637,0.05668596178293228,0.4817444384098053,0.0502345934510231,0.0502345934510231,0.0502345934510231,-0.02177715301513672,3.3026090414592657
33,0.09295685589313507,0.061379849910736084,0.09294015914201736,0.06515198945999146,0.484158456325531,0.04686956852674484,0.04686956852674484,0.04686956852674484,-0.001530766487121582,3.3020644651855107
34,0.09348561614751816,0.06452451646327972,0.0934540256857872,0.05351048707962036,0.4828844666481018,0.05006632208824158,0.05006632208824158,0.05006632208824158,-0.009527206420898438,3.3028053309509966
35,0.0947546511888504,0.05829702690243721,0.09478304535150528,0.05796234682202339,0.48454418778419495,0.049471497535705566,0.049471497535705566,0.049471497535705566,0.010414063930511475,3.301333643256504
36,0.09263959527015686,0.04445166885852814,0.09261529892683029,0.05302998423576355,0.483429491519928,0.047055795788764954,0.047055795788764954,0.047055795788764954,-0.010932087898254395,3.3021380748038776
37,0.09401438385248184,0.0632433369755745,0.09400583803653717,0.06494329124689102,0.4825882911682129,0.049929674714803696,0.049929674714803696,0.049929674714803696,-0.01128244400024414,3.3015155243591203
38,0.0967639610171318,0.04629828780889511,0.0967230349779129,0.05003989487886429,0.48534268140792847,0.05009957030415535,0.05009957030415535,0.05009957030415535,0.014317214488983154,3.3008383885656323
39,0.09750422835350037,0.0469709113240242,0.09757889062166214,0.051018018275499344,0.48121780157089233,0.050074364989995956,0.050074364989995956,0.050074364989995956,-0.007375955581665039,3.3011343458985754
40,0.09211082756519318,0.0656658262014389,0.09210723638534546,0.07015880942344666,0.4869886040687561,0.009321898221969604,0.009321898221969604,0.009321898221969604,-0.01556551456451416,3.3017826366747296
41,0.09486040472984314,0.054278016090393066,0.09488428384065628,0.05348717048764229,0.4785638451576233,0.05029105022549629,0.05029105022549629,0.05029105022549629,-0.013002991676330566,3.3012756308928326
42,0.09549492597579956,0.06137137487530708,0.09554289281368256,0.04928546026349068,0.47948795557022095,0.05180070549249649,0.05180070549249649,0.05180070549249649,0.008556604385375977,3.3024095274671925
43,0.09612943977117538,0.04425566643476486,0.09608878940343857,0.04730037599802017,0.4845777153968811,0.04915793612599373,0.04915793612599373,0.04915793612599373,-0.005087852478027344,3.3010160342085806
44,0.08756345510482788,0.07665689289569855,0.08756490796804428,0.07146910578012466,0.47849297523498535,0.04766298830509186,0.04766298830509186,0.04766298830509186,-0.010103940963745117,3.301055445888929
45,0.09147631376981735,0.06249910593032837,0.09145264327526093,0.05585136264562607,0.4802311360836029,0.05000187084078789,0.05000187084078789,0.05000187084078789,-0.009727835655212402,3.3010082115780115
46,0.09221658110618591,0.06448191404342651,0.09220030903816223,0.06083089858293533,0.4805104732513428,0.049004197120666504,0.049004197120666504,0.049004197120666504,-0.01897120475769043,3.300857437443613
