--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE241      25     0.4400     0.8400     0.5536     1.1200    1.8547    
SITE244      12     0.2500     0.7500     0.2375     1.6667    2.5820    
SITE245      15     0.4000     0.7333     0.0432     1.8667    2.8752    
SITE251      11     0.6364     0.8182     0.7460     0.7273    1.3484    
SITE253      30     0.2667     0.7000     0.0775     1.7000    2.3875    
SITE256      5      0.4000     0.8000     -0.4224    1.8000    2.5690    
SITE258      12     0.2500     0.7500     -0.1111    1.8333    2.5820    
SITE259      9      0.3333     0.6667     -0.0011    2.3333    3.3500    
SITE261      15     0.4000     0.6000     0.2285     1.8000    2.5430    
SITE262      20     0.2500     0.7500     -0.4390    1.9000    2.8107    
SITE268      13     0.2308     0.6923     0.0861     2.0000    2.7456    
SITE272      13     0.3846     0.7692     0.0521     1.7692    2.8420    
SITE276      12     0.5000     0.6667     -1.0505    1.6667    2.7080    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.8000     1.0000     0.9805     0.2000    0.4472    
SITE309      13     0.5385     0.6923     0.4541     1.3846    2.2188    
SITE310      7      0.4286     0.8571     0.6070     1.2857    1.7321    
SITE322      9      0.5556     0.7778     0.2541     1.1111    1.8257    
SITE323      9      0.6667     0.7778     0.5375     0.8889    1.6997    
SITE324      17     0.3529     0.6471     -0.4589    2.4118    3.5892    
SITE325      8      0.6250     1.0000     0.9022     0.6250    1.0607    
SITE327      16     0.5625     0.8125     0.0841     1.5000    2.8504    
SITE330      14     0.7143     0.9286     0.8290     0.5000    1.0351    
SITE331      7      0.5714     0.7143     0.5081     1.1429    1.9272    
SITE332      9      0.4444     0.6667     -0.5824    1.3333    1.8856    
SITE333      5      0.6000     0.6000     -1.6667    1.6000    2.5298    
SITE334      12     0.5000     0.8333     0.4894     1.1667    1.8708    
SITE336      5      0.4000     0.8000     -2.4375    2.0000    2.9665    
SITE338      5      0.4000     0.6000     -1.7500    1.6000    2.0976    
SITE339      8      0.2500     0.6250     -0.4039    2.1250    2.8062    
SITE340      12     0.3333     0.5000     -0.1898    2.0000    2.6141    
SITE343      12     0.3333     0.5000     -0.4149    2.1667    2.9721    
SITE345      7      0.5714     0.7143     0.0993     1.2857    2.2361    
SITE353      8      0.7500     0.8750     0.7802     0.5000    1.1180    
SITE355      9      0.6667     0.7778     0.2882     1.2222    2.5604    
SITE358      14     0.4286     0.7857     0.5052     1.2143    1.7113    
SITE360      8      0.5000     0.8750     0.5463     0.8750    1.5411    
SITE361      7      0.5714     0.8571     0.6475     0.8571    1.4142    
SITE362      11     0.6364     0.9091     0.7319     0.8182    1.6787    
SITE363      11     0.4545     0.6364     -0.5812    1.8182    2.8920    
SITE366      12     0.4167     0.6667     -0.3484    2.0833    3.1491    
SITE367      8      0.7500     0.7500     0.5893     0.8750    1.7678    
SITE375      6      0.8333     1.0000     0.9795     0.1667    0.4082    
SITE376      9      0.5556     0.6667     0.1667     1.4444    2.2361    
SITE377      12     0.4167     0.6667     0.0707     1.5833    2.3979    
SITE380      8      0.5000     1.0000     0.8410     0.7500    1.1180    
SITE383      4      0.2500     0.5000     -0.0556    1.7500    2.1794    
SITE385      9      0.2222     0.3333     -0.1607    2.3333    2.6874    
SITE386      11     0.6364     0.9091     0.7863     0.6364    1.1677    
SITE388      7      0.4286     1.0000     0.8641     0.5714    0.7559    
SITE389      11     0.4545     0.6364     0.1558     1.6364    2.4863    
SITE397      14     0.5714     0.8571     0.4841     1.0714    1.9086    
SITE401      7      0.5714     0.7143     -0.3295    1.5714    2.6458    
SITE404      6      0.6667     0.6667     0.1500     1.3333    2.3805    
SITE406      6      0.3333     0.6667     0.0881     2.0000    2.8868    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
