--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE240      14     0.3571     0.6429     0.0587     1.8571    2.6992    
SITE241      25     0.3200     0.6800     -0.0174    1.9200    2.8000    
SITE244      12     0.1667     0.4167     -1.3352    3.5833    4.5185    
SITE245      15     0.4667     0.6667     -0.2886    2.0667    3.3367    
SITE251      11     0.3636     0.6364     -0.6259    2.1818    3.4112    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      12     0.4167     0.6667     -0.0556    1.6667    2.5166    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.4000     0.6000     -0.2407    2.1333    3.2249    
SITE262      20     0.3000     0.7500     -0.5483    1.9000    2.9155    
SITE268      13     0.2308     0.5385     -0.5947    2.6923    3.6268    
SITE272      13     0.3077     0.4615     -0.3903    2.6154    3.4418    
SITE276      12     0.3333     0.7500     -0.3515    1.5000    2.1985    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.4615     0.5385     -0.2369    2.2308    3.3397    
SITE310      7      0.2857     0.4286     -1.4144    3.2857    4.2929    
SITE322      9      0.5556     0.7778     0.2541     1.1111    1.8257    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.1176     0.3529     -1.0451    3.5882    4.2496    
SITE325      8      0.3750     0.7500     -0.1630    2.3750    3.6572    
SITE327      16     0.2500     0.5000     -0.7966    3.0625    3.9922    
SITE330      14     0.4286     0.7143     -0.1629    1.7143    2.6992    
SITE331      7      0.4286     0.5714     -0.8541    2.5714    3.7417    
SITE332      9      0.4444     0.7778     -0.5330    1.2222    1.8559    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.6250     -1.3621    2.5000    3.6401    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.5833     0.7500     0.5195     1.0000    1.7321    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.8750     0.8750     0.4505     0.6250    1.7678    
SITE355      9      0.5556     0.6667     -0.4839    2.1111    3.6968    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.6250     0.7500     0.1642     1.1250    2.0917    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.4167     -1.4363    3.2500    4.2328    
SITE367      8      0.7500     0.7500     0.5893     0.8750    1.7678    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.3333     0.4444     -1.1852    2.6667    3.6209    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.6250     0.1571     1.8750    2.5739    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.3333     0.6667     0.4107     1.4444    1.9149    
SITE386      11     0.4545     0.6364     -0.8096    2.2727    3.3979    
SITE388      7      0.2857     0.5714     -1.2427    2.2857    3.0706    
SITE389      11     0.5455     0.8182     0.5034     1.0909    1.9069    
SITE397      14     0.2143     0.6429     0.3223     1.7857    2.1876    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.5000     0.5000     -0.4750    2.1667    3.1358    
SITE406      6      0.3333     0.6667     -0.1489    2.1667    3.2404    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2069     0.6207     -0.4823    1.9655    2.5798    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2000     0.6667     -0.0935    1.8667    2.2804    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.1538     0.6154     -0.0042    2.0000    2.3859    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.5333     0.8000     0.3935     1.2000    2.0000    
SITE430      9      0.5556     0.5556     -0.4376    2.7778    4.3333    
SITE434      12     0.2500     0.5000     -0.1463    2.1667    2.7988    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.2222     0.3889     -1.1844    3.0000    3.7565    
SITE438      15     0.2000     0.6667     -0.7058    2.0667    2.8402    
SITE439      13     0.2308     0.2308     -1.9623    4.0000    4.9147    
SITE442      19     0.2632     0.5789     -0.7279    2.6842    3.6491    
SITE443      6      0.3333     0.5000     -1.0576    3.5000    4.8819    
SITE446      18     0.3333     0.6667     -0.4081    2.4444    3.5434    
SITE447      5      0.4000     0.4000     0.0421     2.2000    2.8636    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.2222     0.4444     -2.1919    4.5556    5.8214    
SITE460      4      0.2500     0.7500     -0.4211    2.5000    3.6742    
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.5000     0.6667     -0.4579    2.3333    3.6056    
