site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE401,26,18,3,5,1,16,0.800000011920929,0.800000011920929,-0.25,1.2000000476837158,2.683281421661377,16.971668004989624,0.01613675430417061,1.094132900238037,1
SITE404,21,12,2,7,1,16,0.2857142984867096,0.7142857313156128,-1.1559998989105225,2.4285714626312256,3.316624879837036,2.307417869567871,0.0005828826688230038,13.245019912719727,1
SITE406,25,15,4,6,6,21,0.3333333432674408,0.5,-0.39672136306762695,2.5,3.4399611949920654,2.1841378211975098,2.1366634368896484,1.9594180583953857,6
SITE407,28,18,4,6,1,16,0.6666666865348816,0.8333333134651184,-0.283237099647522,1.1666666269302368,2.4832773208618164,1.1468076705932617,0.0,47.50267028808594,1
SITE411,133,83,17,33,54,60,0.0,0.5454545617103577,-0.9769585132598877,2.7878787517547607,3.200378656387329,1.6388983329137166,1.0242096036672592,3.364499568939209,54
SITE417,101,54,13,34,1,16,0.14705882966518402,0.6176470518112183,-0.0034317970275878906,2.088235378265381,2.514662742614746,4.933182179927826,2.2413487434387207,2.2750938733418784,1
SITE420,57,35,6,16,4,19,0.1875,0.5625,-1.5791044235229492,2.875,3.674234628677368,2.3330184618631997,2.1969950199127197,2.166935443878174,4
SITE421,39,26,2,11,2,17,0.0,0.5454545617103577,-0.019512176513671875,2.3636362552642822,2.6285150051116943,4.325276076793671,3.3056037425994873,2.41341233253479,2
SITE422,41,23,6,12,4,19,0.25,0.25,-2.7696332931518555,3.8333332538604736,4.4721360206604,2.2443166971206665,1.9475109577178955,2.1352057456970215,4
SITE424,24,17,3,4,1,16,0.75,0.75,-0.3333333730697632,0.75,1.5,1.1469709873199463,0.0,25.674442291259766,1
SITE426,60,36,7,17,2,17,0.29411765933036804,0.4117647111415863,-1.8168604373931885,2.941176414489746,3.66220760345459,2.103936195373535,1.558258295059204,2.229423999786377,2
SITE430,33,23,5,5,3,18,0.6000000238418579,1.0,-0.6666666269302368,0.800000011920929,1.2649110555648804,2.146712064743042,2.0086896419525146,1.5382745265960693,3
SITE434,41,25,5,11,2,17,0.3636363744735718,0.5454545617103577,-0.3171520233154297,1.8181818723678589,2.593698501586914,3.2048290967941284,2.8468286991119385,2.371169328689575,2
SITE435,32,15,5,12,5,20,0.0,0.0,-0.16580331325531006,3.5,3.535533905029297,2.09989333152771,2.718606948852539,2.124232292175293,5
SITE437,63,28,9,26,3,18,0.03846153989434242,0.26923078298568726,-3.3955612182617188,3.923076868057251,4.463527202606201,2.4253265857696533,2.5190718173980713,2.2697032690048218,3
SITE438,56,28,9,19,2,17,0.15789473056793213,0.4736842215061188,-1.9670870304107666,2.78947377204895,3.425907611846924,3.1961638927459717,2.3481428623199463,2.4450803995132446,2
