--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE240      14     0.3571     0.6429     -0.9196    2.5714    3.8545    
SITE241      25     0.2800     0.6000     -0.5833    2.4400    3.4928    
SITE244      12     0.1667     0.4167     -1.3352    3.5833    4.5185    
SITE245      15     0.4000     0.6667     -0.4352    2.2667    3.5214    
SITE251      11     0.2727     0.7273     0.3395     1.6364    2.1742    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      12     0.4167     0.6667     -0.0556    1.6667    2.5166    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.3333     0.5333     -0.7179    2.6667    3.7947    
SITE262      20     0.3000     0.7500     -0.1111    1.7000    2.4698    
SITE268      13     0.2308     0.5385     -0.5947    2.6923    3.6268    
SITE272      13     0.1538     0.3077     -2.1778    4.3077    5.2035    
SITE276      12     0.3333     0.7500     -0.3515    1.5000    2.1985    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.4615     0.6923     -0.4843    2.3077    3.6585    
SITE310      7      0.2857     0.4286     -1.4144    3.2857    4.2929    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.5556     0.7778     0.1107     1.3333    2.3570    
SITE324      17     0.4118     0.8235     0.3672     1.3529    2.3639    
SITE325      8      0.2500     0.6250     -0.6957    3.2500    4.4159    
SITE327      16     0.3125     0.5000     -0.9163    3.0000    4.1231    
SITE330      14     0.4286     0.7143     0.0651     1.5714    2.4202    
SITE331      7      0.4286     0.5714     -0.8541    2.5714    3.7417    
SITE332      9      0.5556     0.7778     -0.4835    1.1111    1.8257    
SITE333      5      0.8000     0.8000     -0.3333    0.8000    1.7889    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.2500     0.5000     -0.2256    2.1250    2.6220    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.5000     0.6667     0.0389     1.5000    2.4495    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.5556     0.6667     -0.4839    2.1111    3.6968    
SITE358      14     0.3571     0.6429     0.0586     1.7143    2.3604    
SITE360      8      0.5000     0.7500     0.0687     1.3750    2.2079    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.4167     -1.4363    3.2500    4.2328    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.3333     0.4444     -1.1852    2.6667    3.6209    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.8750     0.2684     1.5000    2.3979    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.3333     0.6667     0.4107     1.4444    1.9149    
SITE386      11     0.5455     0.8182     -0.0544    1.4545    2.5937    
SITE388      7      0.2857     0.5714     -1.2427    2.2857    3.0706    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.2143     0.6429     0.2211     1.7857    2.3452    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
