epoch,accuracy,precision,recall,F1,AUC,expectedCE,maxCE,RMSCE,QWK,loss
1,0.15683163702487946,0.1449202448129654,0.15683980286121368,0.14544235169887543,0.6057168841362,0.03922556713223457,0.23278957605361938,0.04361327737569809,0.37055838108062744,2.224424872099848
2,0.1732233464717865,0.15901879966259003,0.17322394251823425,0.16006167232990265,0.6367180943489075,0.033435381948947906,0.47150442004203796,0.035296596586704254,0.4631116986274719,2.16959165659451
3,0.177770733833313,0.16114124655723572,0.1777663677930832,0.16385890543460846,0.6427809000015259,0.03230539709329605,0.2138364315032959,0.03510235249996185,0.4867265820503235,2.1553524343293726
4,0.18559645116329193,0.16851767897605896,0.1855790764093399,0.16954141855239868,0.6487706899642944,0.030829789116978645,0.18890810012817383,0.03392945975065231,0.49410027265548706,2.1406362472250167
5,0.1875,0.17011228203773499,0.1875053346157074,0.17257337272167206,0.6549383997917175,0.031911466270685196,0.16874197125434875,0.0358247272670269,0.5017949342727661,2.1286277311102366
6,0.19680626690387726,0.18122552335262299,0.19683937728405,0.18237122893333435,0.659636378288269,0.027893828228116035,0.18070152401924133,0.032247595489025116,0.5012480020523071,2.113129265215597
7,0.19426819682121277,0.1760072261095047,0.1942751556634903,0.17948514223098755,0.6589310765266418,0.03270222246646881,0.6758619546890259,0.0361485630273819,0.5152170658111572,2.1150432496304834
8,0.19913282990455627,0.18282468616962433,0.199175626039505,0.18426945805549622,0.6698604226112366,0.03299986571073532,0.30072343349456787,0.03486889228224754,0.5286926031112671,2.095628197221388
9,0.19966159760951996,0.1798829883337021,0.1996147483587265,0.18149688839912415,0.6716556549072266,0.03134861961007118,0.09004437923431396,0.03401312232017517,0.5360022187232971,2.091757982918857
10,0.20843908190727234,0.19303365051746368,0.2084304839372635,0.19303956627845764,0.673110842704773,0.02500494383275509,0.07917241752147675,0.026531124487519264,0.5336358547210693,2.089428069829537
11,0.2054779976606369,0.18890121579170227,0.20551224052906036,0.19030246138572693,0.6769368052482605,0.030960969626903534,0.24535131454467773,0.03261687979102135,0.5419825911521912,2.0774454822395074
12,0.211717426776886,0.19155418872833252,0.21169725060462952,0.19429661333560944,0.6769949197769165,0.026249729096889496,0.8056951761245728,0.029354561120271683,0.5457941293716431,2.073485626383685
13,0.21362097561359406,0.19522568583488464,0.2135734111070633,0.19770340621471405,0.6774111986160278,0.027508771046996117,0.09285670518875122,0.028540775179862976,0.5462914705276489,2.06661728695161
14,0.21785110235214233,0.19980333745479584,0.2178620994091034,0.2005065679550171,0.680815577507019,0.02625931240618229,0.04805338382720947,0.02722318284213543,0.5472440719604492,2.060212067944547
15,0.22409053146839142,0.2031129151582718,0.2240760326385498,0.20466700196266174,0.680668294429779,0.024120446294546127,0.09921300411224365,0.025804629549384117,0.5501948595046997,2.056405107785402
