predicted,truth,output,top,path
7,9,"[0.0243, 0.0583, 0.1332, 0.1041, 0.1425, 0.1437, 0.0786, 0.1450, 0.0932, 0.0770]",0.1449543833732605,2024-07-29-17-46-25/SITE483_ORNT95_VIS15mi.png
8,8,"[0.0003, 0.0013, 0.0027, 0.0037, 0.0050, 0.0157, 0.0154, 0.0086, 0.8657, 0.0817]",0.8656941056251526,2024-06-17-10-37-40/SITE324_ORNT115_VIS9mi.png
9,2,"[0.0087, 0.0130, 0.0447, 0.0381, 0.0280, 0.0348, 0.0354, 0.0856, 0.0256, 0.6861]",0.6861329078674316,2024-12-29-16-00-12/SITE59_ORNT333_VIS3mi.png
1,3,"[0.1091, 0.2426, 0.1897, 0.1837, 0.1150, 0.0772, 0.0419, 0.0333, 0.0060, 0.0015]",0.24255642294883728,2024-08-01-10-54-34/SITE86_ORNT239_VIS4mi.png
8,4,"[0.0074, 0.0321, 0.0807, 0.0282, 0.1097, 0.2150, 0.0481, 0.0565, 0.4048, 0.0174]",0.40481218695640564,2025-02-01-12-44-07/SITE385_ORNT50_VIS5mi.png
9,7,"[0.0094, 0.0165, 0.0609, 0.0621, 0.0527, 0.0604, 0.0724, 0.1436, 0.0419, 0.4800]",0.4800083041191101,2025-04-10-17-56-44/SITE215_ORNT130_VIS8mi.png
2,3,"[0.0352, 0.0842, 0.1684, 0.1419, 0.1464, 0.1432, 0.1197, 0.1007, 0.0305, 0.0299]",0.16837620735168457,2024-07-04-10-22-12/SITE239_ORNT202_VIS4mi.png
8,8,"[0.0073, 0.0332, 0.0838, 0.0290, 0.1206, 0.2379, 0.0530, 0.0574, 0.3651, 0.0125]",0.3650863468647003,2025-02-14-15-24-27/SITE355_ORNT130_VIS9mi.png
1,0,"[0.1955, 0.3028, 0.1823, 0.1493, 0.0744, 0.0480, 0.0233, 0.0200, 0.0031, 0.0013]",0.30279624462127686,2024-05-07-15-42-07/SITE116_ORNT108_VIS1-25mi.png
4,1,"[0.0303, 0.0784, 0.1492, 0.1118, 0.1629, 0.1524, 0.0761, 0.1251, 0.0708, 0.0430]",0.1628573089838028,2025-01-29-12-01-12/SITE607_ORNT90_VIS2mi.png
8,7,"[0.0006, 0.0023, 0.0049, 0.0073, 0.0086, 0.0217, 0.0219, 0.0183, 0.7607, 0.1538]",0.7606619596481323,2024-07-24-16-43-44/SITE366_ORNT40_VIS8mi.png
2,1,"[0.1228, 0.1775, 0.1957, 0.1583, 0.1105, 0.0803, 0.0619, 0.0606, 0.0093, 0.0229]",0.19574247300624847,2025-03-01-18-07-41/SITE86_ORNT321_VIS2-5mi.png
3,6,"[0.0934, 0.1302, 0.1525, 0.1796, 0.1248, 0.0828, 0.0830, 0.1049, 0.0136, 0.0353]",0.17964133620262146,2024-07-23-13-08-12/SITE584_ORNT225_VIS7mi.png
3,7,"[0.0338, 0.0824, 0.1380, 0.1740, 0.1616, 0.1280, 0.1250, 0.1146, 0.0231, 0.0196]",0.17395317554473877,2024-07-14-13-28-24/SITE251_ORNT335_VIS8mi.png
8,8,"[0.0004, 0.0021, 0.0039, 0.0045, 0.0083, 0.0257, 0.0192, 0.0093, 0.8841, 0.0425]",0.8841440677642822,2024-08-10-09-44-28/SITE324_ORNT225_VIS9mi.png
9,2,"[0.0082, 0.0136, 0.0477, 0.0473, 0.0341, 0.0411, 0.0433, 0.1036, 0.0454, 0.6158]",0.6157664656639099,2024-12-23-15-38-40/SITE446_ORNT165_VIS3mi.png
2,9,"[0.0842, 0.1111, 0.1863, 0.1296, 0.1073, 0.0868, 0.0682, 0.0963, 0.0202, 0.1100]",0.1863098442554474,2025-02-19-12-18-05/SITE586_ORNT100_VIS10+mi.png
9,9,"[0.0079, 0.0127, 0.0465, 0.0472, 0.0346, 0.0405, 0.0482, 0.1156, 0.0349, 0.6120]",0.6120197772979736,2025-03-15-15-41-34/SITE578_ORNT0_VIS10+mi.png
6,4,"[0.0106, 0.0331, 0.0853, 0.1326, 0.1587, 0.1533, 0.2129, 0.1618, 0.0352, 0.0165]",0.21291962265968323,2024-06-06-17-01-51/SITE12_ORNT200_VIS5mi.png
8,9,"[0.0013, 0.0053, 0.0095, 0.0114, 0.0175, 0.0424, 0.0284, 0.0197, 0.7953, 0.0691]",0.7952566146850586,2024-07-05-14-33-31/SITE406_ORNT190_VIS14mi.png
9,0,"[0.0209, 0.0358, 0.1201, 0.0883, 0.0873, 0.1004, 0.1000, 0.1345, 0.0460, 0.2667]",0.26674050092697144,2025-02-02-12-13-03/SITE831_ORNT0_VIS1mi.png
1,5,"[0.1580, 0.2639, 0.1839, 0.1692, 0.0923, 0.0599, 0.0340, 0.0310, 0.0050, 0.0028]",0.2638877034187317,2024-09-08-13-07-06/SITE557_ORNT8_VIS6mi.png
1,1,"[0.1702, 0.2783, 0.1957, 0.1456, 0.0859, 0.0612, 0.0310, 0.0253, 0.0040, 0.0027]",0.27831634879112244,2025-03-01-18-07-41/SITE86_ORNT75_VIS2-5mi.png
8,9,"[0.0037, 0.0142, 0.0389, 0.0386, 0.0594, 0.1141, 0.0554, 0.0760, 0.5114, 0.0883]",0.5113948583602905,2024-05-03-12-14-06/SITE485_ORNT20_VIS15mi.png
8,8,"[0.0008, 0.0034, 0.0056, 0.0030, 0.0061, 0.0257, 0.0157, 0.0064, 0.8171, 0.1162]",0.8170690536499023,2024-04-25-17-48-06/SITE377_ORNT110_VIS9mi.png
1,7,"[0.0840, 0.2025, 0.1778, 0.1959, 0.1330, 0.0938, 0.0587, 0.0437, 0.0077, 0.0028]",0.20254738628864288,2024-07-28-13-48-26/SITE417_ORNT220_VIS8mi.png
1,0,"[0.1742, 0.2662, 0.2177, 0.1287, 0.0863, 0.0637, 0.0289, 0.0262, 0.0048, 0.0032]",0.2662343680858612,2025-03-26-12-24-08/SITE251_ORNT25_VIS1mi.png
2,3,"[0.0813, 0.1552, 0.2175, 0.1088, 0.1343, 0.1282, 0.0484, 0.0609, 0.0392, 0.0261]",0.21745729446411133,2025-04-16-13-54-24/SITE460_ORNT165_VIS4mi.png
2,5,"[0.0716, 0.1005, 0.2069, 0.1146, 0.1215, 0.1222, 0.0867, 0.0862, 0.0202, 0.0694]",0.20691479742527008,2024-08-10-09-44-28/SITE747_ORNT0_VIS6mi.png
1,1,"[0.1681, 0.2692, 0.2012, 0.1523, 0.0889, 0.0579, 0.0297, 0.0267, 0.0048, 0.0013]",0.26915159821510315,2024-07-18-14-04-18/SITE73_ORNT335_VIS2mi.png
1,1,"[0.2744, 0.2755, 0.1516, 0.1267, 0.0680, 0.0353, 0.0245, 0.0337, 0.0051, 0.0054]",0.2754564881324768,2025-02-04-15-47-48/SITE33_ORNT215_VIS2mi.png
8,8,"[0.0108, 0.0366, 0.1133, 0.0556, 0.1278, 0.1851, 0.0630, 0.1148, 0.2380, 0.0549]",0.23803932964801788,2025-04-14-19-44-02/SITE362_ORNT25_VIS9mi.png
9,6,"[0.0118, 0.0241, 0.0777, 0.0771, 0.0835, 0.1136, 0.1580, 0.1616, 0.0325, 0.2602]",0.2602154612541199,2025-01-29-12-01-12/SITE25_ORNT320_VIS7mi.png
7,6,"[0.0098, 0.0249, 0.0876, 0.0932, 0.1137, 0.1299, 0.1238, 0.1895, 0.1042, 0.1235]",0.1894875019788742,2025-04-11-14-52-32/SITE507_ORNT0_VIS7mi.png
9,9,"[0.0150, 0.0142, 0.0343, 0.0146, 0.0120, 0.0222, 0.0127, 0.0253, 0.0068, 0.8431]",0.8430534601211548,2025-02-15-15-20-00/SITE583_ORNT40_VIS10+mi.png
9,3,"[0.0341, 0.0453, 0.1004, 0.0586, 0.0504, 0.0581, 0.0341, 0.0750, 0.0425, 0.5017]",0.501656711101532,2025-02-16-12-49-10/SITE658_ORNT25_VIS4mi.png
2,2,"[0.0550, 0.1485, 0.2100, 0.0973, 0.1518, 0.1586, 0.0480, 0.0622, 0.0575, 0.0111]",0.21002160012722015,2024-05-30-17-47-26/SITE394_ORNT180_VIS3mi.png
2,4,"[0.0720, 0.1077, 0.1681, 0.1523, 0.1065, 0.0844, 0.0812, 0.1043, 0.0178, 0.1058]",0.16808709502220154,2025-03-29-15-28-57/SITE598_ORNT285_VIS5mi.png
2,3,"[0.0866, 0.1879, 0.1967, 0.1677, 0.1291, 0.1029, 0.0649, 0.0481, 0.0092, 0.0069]",0.19667206704616547,2025-03-05-12-08-53/SITE40_ORNT295_VIS4mi.png
9,1,"[0.0095, 0.0172, 0.0597, 0.0555, 0.0528, 0.0747, 0.0924, 0.1311, 0.0318, 0.4752]",0.47524550557136536,2025-02-05-13-59-56/SITE59_ORNT10_VIS2mi.png
2,5,"[0.0889, 0.1402, 0.1806, 0.1576, 0.1156, 0.0812, 0.0664, 0.0975, 0.0204, 0.0516]",0.18057821691036224,2025-03-28-10-38-15/SITE658_ORNT305_VIS6mi.png
9,0,"[0.0173, 0.0293, 0.1002, 0.0806, 0.0703, 0.0789, 0.0817, 0.1322, 0.0389, 0.3706]",0.37058335542678833,2025-04-01-16-59-16/SITE97_ORNT98_VIS1-25mi.png
6,6,"[0.0045, 0.0152, 0.0257, 0.0526, 0.0987, 0.2169, 0.4312, 0.1043, 0.0202, 0.0306]",0.43118441104888916,2024-07-01-19-28-49/SITE19_ORNT170_VIS7mi.png
2,7,"[0.1132, 0.1639, 0.1759, 0.1578, 0.1184, 0.0769, 0.0590, 0.0851, 0.0161, 0.0337]",0.17585262656211853,2025-01-15-15-33-17/SITE602_ORNT175_VIS8mi.png
2,1,"[0.0913, 0.1700, 0.2203, 0.0757, 0.1217, 0.1208, 0.0344, 0.0583, 0.0653, 0.0422]",0.22026591002941132,2025-02-16-12-49-10/SITE411_ORNT220_VIS2mi.png
9,9,"[0.0127, 0.0142, 0.0357, 0.0197, 0.0178, 0.0372, 0.0227, 0.0339, 0.0086, 0.7975]",0.7975347638130188,2025-01-28-16-10-28/SITE658_ORNT120_VIS10+mi.png
1,0,"[0.1886, 0.2265, 0.1902, 0.1397, 0.0854, 0.0580, 0.0405, 0.0443, 0.0070, 0.0197]",0.2264532893896103,2025-03-23-13-51-54/SITE116_ORNT3_VIS1-25mi.png
9,9,"[0.0074, 0.0114, 0.0396, 0.0390, 0.0266, 0.0317, 0.0353, 0.0918, 0.0295, 0.6876]",0.6876007318496704,2025-01-23-15-05-27/SITE616_ORNT0_VIS10+mi.png
9,5,"[0.0182, 0.0215, 0.0519, 0.0158, 0.0185, 0.0350, 0.0152, 0.0253, 0.0370, 0.7618]",0.7617717385292053,2025-02-19-12-18-05/SITE564_ORNT18_VIS6mi.png
9,9,"[0.0048, 0.0091, 0.0310, 0.0496, 0.0350, 0.0400, 0.0623, 0.1475, 0.0587, 0.5619]",0.5618534684181213,2024-10-11-15-41-13/SITE595_ORNT270_VIS10+mi.png
6,6,"[0.0156, 0.0411, 0.0681, 0.1409, 0.1735, 0.1625, 0.2212, 0.1404, 0.0204, 0.0161]",0.22123019397258759,2024-07-22-20-17-56/SITE437_ORNT340_VIS7mi.png
1,1,"[0.2423, 0.3053, 0.1835, 0.1370, 0.0612, 0.0340, 0.0163, 0.0167, 0.0030, 0.0006]",0.3052951693534851,2024-07-05-10-36-13/SITE48_ORNT275_VIS2mi.png
9,6,"[0.0165, 0.0283, 0.0929, 0.0796, 0.0725, 0.0822, 0.0915, 0.1351, 0.0339, 0.3674]",0.3674120008945465,2025-03-31-15-41-11/SITE59_ORNT333_VIS7mi.png
7,3,"[0.0053, 0.0142, 0.0468, 0.0954, 0.1168, 0.1122, 0.2109, 0.2639, 0.0584, 0.0761]",0.26394742727279663,2024-07-07-15-01-32/SITE19_ORNT260_VIS4mi.png
8,4,"[0.0093, 0.0424, 0.1168, 0.0409, 0.1307, 0.2439, 0.0562, 0.0631, 0.2841, 0.0125]",0.2841113805770874,2024-05-27-19-19-47/SITE490_ORNT280_VIS5mi.png
9,6,"[0.0284, 0.0413, 0.1162, 0.0938, 0.0848, 0.0881, 0.0880, 0.1293, 0.0280, 0.3020]",0.30202916264533997,2025-02-04-15-47-48/SITE598_ORNT180_VIS7mi.png
6,5,"[0.0080, 0.0238, 0.0707, 0.1126, 0.1432, 0.1465, 0.2262, 0.1929, 0.0423, 0.0337]",0.22619210183620453,2024-09-08-13-07-06/SITE623_ORNT180_VIS6mi.png
7,4,"[0.0067, 0.0159, 0.0519, 0.0924, 0.1131, 0.1097, 0.2092, 0.2543, 0.0545, 0.0923]",0.25426962971687317,2024-08-11-09-28-59/SITE581_ORNT350_VIS5mi.png
8,8,"[0.0011, 0.0040, 0.0103, 0.0161, 0.0174, 0.0351, 0.0297, 0.0445, 0.6303, 0.2115]",0.6303108930587769,2024-05-08-14-34-39/SITE310_ORNT284_VIS9mi.png
7,6,"[0.0093, 0.0292, 0.0766, 0.1236, 0.1811, 0.1513, 0.1628, 0.1860, 0.0679, 0.0124]",0.18595510721206665,2024-07-20-15-11-13/SITE332_ORNT15_VIS7mi.png
2,3,"[0.0366, 0.0811, 0.1633, 0.1335, 0.1464, 0.1414, 0.1111, 0.1102, 0.0371, 0.0392]",0.16329576075077057,2025-02-14-15-24-27/SITE844_ORNT200_VIS4mi.png
9,9,"[0.0076, 0.0145, 0.0589, 0.0621, 0.0530, 0.0625, 0.0803, 0.1593, 0.0551, 0.4466]",0.44660621881484985,2025-04-11-14-52-32/SITE831_ORNT260_VIS10+mi.png
8,8,"[0.0086, 0.0270, 0.0287, 0.0123, 0.0365, 0.1108, 0.0308, 0.0138, 0.6911, 0.0405]",0.6911377906799316,2025-03-01-18-07-41/SITE520_ORNT90_VIS9mi.png
