epoch,accuracy,precision,recall,F1,AUC,expectedCE,maxCE,RMSCE,QWK,loss
1,0.1281725913286209,0.11938390880823135,0.1282222718000412,0.11933203041553497,0.5500317811965942,0.015569579787552357,0.8843793869018555,0.05126552656292915,0.12940067052841187,2.3079538135560838
2,0.19670051336288452,0.16867804527282715,0.19677837193012238,0.16737744212150574,0.6339578628540039,0.013752013444900513,0.4459884464740753,0.03099934570491314,0.38757920265197754,2.164375230140492
3,0.21362097561359406,0.18315228819847107,0.21357886493206024,0.18576204776763916,0.662757396697998,0.00968578178435564,0.9422571063041687,0.022193923592567444,0.4619320034980774,2.117847729051977
4,0.22483079135417938,0.19140183925628662,0.22490207850933075,0.19012141227722168,0.6712961196899414,0.010785284452140331,0.46764397621154785,0.02183224819600582,0.4803471565246582,2.0944957095757766
5,0.2320220023393631,0.2005821168422699,0.23202133178710938,0.19396212697029114,0.6777690649032593,0.01044449582695961,0.14366191625595093,0.019544964656233788,0.4946429133415222,2.075822497785799
6,0.2417512685060501,0.20776131749153137,0.24169926345348358,0.20801278948783875,0.6817625164985657,0.010026450268924236,0.4418894052505493,0.02746962569653988,0.5038819313049316,2.0676756835024155
7,0.24450084567070007,0.2100876122713089,0.2445717304944992,0.21027854084968567,0.6923305988311768,0.01013077050447464,0.2029535174369812,0.022551320493221283,0.5186735987663269,2.045278914688805
8,0.25179779529571533,0.21965475380420685,0.2517938017845154,0.22128398716449738,0.6933456659317017,0.009404784999787807,0.1168137788772583,0.018551990389823914,0.5266255736351013,2.0359741316228934
9,0.2571912109851837,0.22766153514385223,0.25725001096725464,0.2299230992794037,0.6992493867874146,0.014511712826788425,0.09674078226089478,0.019946398213505745,0.5253854990005493,2.0173466481936555
10,0.26015228033065796,0.22760310769081116,0.2601771950721741,0.22862860560417175,0.7022832036018372,0.010659588500857353,1.0,0.020168757066130638,0.5188404321670532,2.0145296887092776
11,0.2662859559059143,0.23949980735778809,0.2662683427333832,0.2413148581981659,0.7046098709106445,0.013381465338170528,0.10481411218643188,0.02097122184932232,0.5363672971725464,2.003990577360499
12,0.2711505889892578,0.24310311675071716,0.2711631655693054,0.2457575500011444,0.7122800350189209,0.01164120901376009,0.15868884325027466,0.019682524725794792,0.5402542352676392,1.9859883656154818
13,0.2750634551048279,0.24593007564544678,0.2749893069267273,0.24878540635108948,0.7128621935844421,0.009397233836352825,0.06098359823226929,0.013999695889651775,0.5455018877983093,1.9785859723986694
14,0.2793993353843689,0.25521767139434814,0.27937793731689453,0.25582024455070496,0.7179692983627319,0.012799865566194057,0.08908867835998535,0.019304081797599792,0.5544126033782959,1.967263511393074
15,0.2845812141895294,0.2614549994468689,0.2845821976661682,0.26252856850624084,0.7219994068145752,0.01004747673869133,0.11435526609420776,0.02042113058269024,0.5609321594238281,1.9569361883573322
16,0.28585025668144226,0.2611519396305084,0.2857934832572937,0.2640059292316437,0.7251791954040527,0.013112599961459637,0.10409992933273315,0.01982244662940502,0.5554629564285278,1.9429140794902477
17,0.3016074597835541,0.2815074026584625,0.30164235830307007,0.28041380643844604,0.7338317036628723,0.011751025915145874,0.09096711874008179,0.021222898736596107,0.5599318742752075,1.9198253049866618
18,0.3036167621612549,0.285940945148468,0.30361613631248474,0.28577178716659546,0.7345527410507202,0.01002294197678566,0.07886451482772827,0.017340783029794693,0.562658429145813,1.9102130500999999
19,0.3062605857849121,0.2877921164035797,0.30629241466522217,0.2878558933734894,0.736751914024353,0.016672812402248383,0.06912678480148315,0.020150164142251015,0.5715763568878174,1.8961672966452026
20,0.3042512834072113,0.2906704545021057,0.30423682928085327,0.28825700283050537,0.7376315593719482,0.01906696707010269,0.08147788047790527,0.026327302679419518,0.5661871433258057,1.8907125268490792
21,0.31641286611557007,0.30338209867477417,0.3163570761680603,0.30160537362098694,0.7460400462150574,0.013272274285554886,0.06639373302459717,0.019918596372008324,0.5816649198532104,1.8573238107355332
