--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE240      14     0.1429     0.5714     -0.5873    2.5714    3.5051    
SITE241      25     0.2400     0.6000     -0.5885    2.4800    3.4986    
SITE244      12     0.0833     0.0833     -3.4702    5.7500    6.2517    
SITE245      15     0.4000     0.5333     -0.7901    2.8000    3.9328    
SITE251      11     0.3636     0.5455     -0.2321    2.0909    2.9695    
SITE253      30     0.2667     0.6667     -0.7101    2.3000    3.2506    
SITE256      5      0.2000     0.6000     -0.5517    2.0000    2.6833    
SITE258      12     0.3333     0.7500     -0.0556    1.6667    2.5166    
SITE259      9      0.4444     0.5556     -0.6057    2.8889    4.2426    
SITE261      15     0.2000     0.4667     -1.6166    3.6667    4.6833    
SITE262      20     0.3000     0.7000     -0.4754    1.9000    2.8461    
SITE268      13     0.3846     0.6923     0.1327     1.7692    2.6747    
SITE272      13     0.2308     0.3077     -2.1417    4.1538    5.1739    
SITE276      12     0.3333     0.7500     -0.0485    1.4167    1.9365    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.4615     0.6923     0.4455     1.4615    2.2361    
SITE310      7      0.4286     0.7143     -0.5160    2.1429    3.4017    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.5556     -0.9565    2.4444    3.4960    
SITE324      17     0.2941     0.4118     -1.4581    3.5882    4.6590    
SITE325      8      0.3750     0.6250     -0.5435    3.0000    4.2131    
SITE327      16     0.2500     0.5000     -0.9375    3.0625    4.1458    
SITE330      14     0.2857     0.5000     -1.3029    2.8571    3.7985    
SITE331      7      0.5714     0.7143     -0.1730    1.7143    2.9761    
SITE332      9      0.5556     0.7778     -0.3352    1.0000    1.7321    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.3333     0.3333     -1.5410    3.2500    4.1733    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.5000     -0.2033    2.0000    2.5981    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.4167     0.4167     -1.0423    2.5833    3.5707    
SITE345      7      0.5714     0.7143     0.0993     1.2857    2.2361    
SITE353      8      0.6250     0.7500     -0.0110    1.2500    2.3979    
SITE355      9      0.5556     0.6667     -0.4960    2.2222    3.7118    
SITE358      14     0.3571     0.7143     0.2397     1.5000    2.1213    
SITE360      8      0.6250     0.8750     0.3552     0.8750    1.8371    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.5000     0.7500     0.2408     1.4167    2.3629    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.6667     0.6667     -0.2491    1.8333    3.1885    
SITE376      9      0.2222     0.3333     -0.3333    2.4444    2.8284    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.3750     -1.2425    3.1250    4.1982    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.3333     0.6667     -0.2500    2.0000    2.7889    
SITE386      11     0.5455     0.8182     0.5155     1.0909    1.7581    
SITE388      7      0.2857     0.7143     -0.9709    2.0000    2.8785    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.4286     0.7143     0.1705     1.5714    2.4202    
SITE401      7      0.7143     0.8571     0.6473     0.7143    1.3628    
SITE404      6      0.6667     0.6667     -0.0250    1.5000    2.6141    
SITE406      6      0.5000     0.8333     0.7994     0.8333    1.3540    
SITE407      7      0.7143     0.7143     -1.0333    1.5714    2.9520    
SITE411      29     0.3103     0.6207     -0.6051    1.9655    2.6846    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2667     0.6000     -0.4720    2.0667    2.6458    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.2308     0.6154     0.1044     1.8462    2.2532    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.8000     0.4744     1.2000    1.8619    
SITE430      9      0.4444     0.7778     0.2684     1.7778    3.0912    
SITE434      12     0.3333     0.5000     -0.2927    2.1667    2.9721    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.1667     0.6111     -0.0922    2.1667    2.6562    
SITE438      15     0.2000     0.7333     -0.6776    2.0667    2.8166    
SITE439      13     0.4615     0.6923     0.1321     1.6923    2.6602    
SITE442      19     0.1579     0.5789     -0.5435    2.7368    3.4489    
SITE443      6      0.5000     0.5000     -0.7554    3.0000    4.5092    
SITE446      18     0.3333     0.6667     -0.6012    2.5000    3.7786    
SITE447      5      0.4000     0.8000     0.3692     1.4000    2.3238    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.4444     0.6667     0.1733     1.8889    2.9627    
SITE460      4      0.2500     0.5000     0.0000     2.5000    3.0822    
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.1667     0.1667     -2.6822    5.1667    5.7300    
SITE464      8      0.5000     0.6250     -0.3468    2.3750    3.8243    
SITE468      6      0.5000     0.5000     -1.9464    3.0000    4.2817    
SITE469      4      0.7500     1.0000     0.6364     0.2500    0.5000    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.3333     0.5556     -1.1486    3.0000    4.2032    
SITE485      10     0.1000     0.1000     -4.1016    6.6000    7.0852    
SITE486      6      0.8333     1.0000     0.9636     0.1667    0.4082    
SITE490      13     0.3077     0.4615     -0.9919    2.6154    3.4194    
SITE492      6      0.5000     0.8333     0.2584     0.8333    1.3540    
SITE506      10     0.7000     0.8000     0.3548     1.0000    1.9494    
SITE508      27     0.2963     0.4815     -1.2368    3.2222    4.3333    
SITE510      6      0.3333     0.3333     -0.9571    2.6667    3.5590    
SITE520      16     0.4375     0.7500     0.2572     1.4375    2.3049    
SITE521      17     0.3529     0.7059     0.2083     2.1176    2.9902    
SITE522      18     0.4444     0.6111     -0.3111    2.1667    3.3250    
SITE528      11     0.4545     0.5455     -0.9085    2.1818    3.1623    
SITE538      7      0.2857     0.2857     -1.7396    4.7143    5.9161    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.6667     0.8333     0.6629     1.0000    1.8257    
SITE541      9      0.4444     0.6667     0.1420     2.2222    3.2998    
SITE542      8      0.5000     0.6250     0.3333     1.7500    2.7386    
SITE545      9      0.4444     0.7778     -0.3077    2.0000    3.3665    
SITE547      7      0.4286     0.4286     -1.2604    4.7143    6.3133    
SITE556      6      0.3333     0.5000     -0.1300    2.5000    3.4400    
SITE557      19     0.3684     0.7895     0.3317     1.5789    2.2711    
SITE561      15     0.4000     0.6000     -0.1339    2.2000    3.1937    
SITE563      10     0.3000     0.8000     0.0196     1.9000    2.7386    
SITE564      9      0.3333     0.6667     -0.0426    2.2222    3.2998    
SITE568      7      0.2857     0.4286     -0.7711    2.5714    3.4641    
SITE569      11     0.2727     0.5455     -0.1530    2.0000    2.5937    
SITE572      8      0.5000     0.7500     -0.0991    1.8750    3.1425    
SITE574      9      0.2222     0.4444     -1.5013    3.7778    4.8762    
SITE575      15     0.2667     0.7333     -0.0007    1.9333    2.5949    
SITE577      9      0.3333     0.3333     -1.5652    4.0000    5.1208    
SITE578      7      0.7143     0.7143     -0.8030    1.1429    2.2039    
SITE580      6      0.3333     0.5000     -0.4800    2.6667    3.5119    
