site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE4,28,15,1,12,17,32,0.5,0.75,-1.96875,1.75,2.81365704536438,1.3148695230484009,0.9497411251068115,2.1734776496887207,17
SITE5,40,19,5,16,1,16,0.0625,0.625,-1.1125540733337402,2.25,2.7613401412963867,2.5833683013916016,2.1787235736846924,2.117683172225952,1
SITE6,47,29,9,9,1,16,0.3333333432674408,0.5555555820465088,-0.4237874746322632,2.777777671813965,3.901566743850708,1.7741536498069763,1.3939636945724487,1.7865731716156006,1
SITE7,129,75,17,37,4,19,0.21621622145175934,0.5945945978164673,-0.2506115436553955,2.2162163257598877,2.866394281387329,1.5644362449645997,1.3141143023967743,2.270427187283834,4
SITE8,57,36,6,15,1,16,0.4000000059604645,0.7333333492279053,-0.22983872890472412,1.399999976158142,2.0165977478027344,1.8363266388575237,2.5409164428710938,1.815259337425232,1
SITE10,58,33,7,18,1,16,0.2777777910232544,0.6666666865348816,0.3463035225868225,1.6666666269302368,2.1602468490600586,1.962557037671407,2.3572986125946045,2.018140435218811,1
SITE11,27,15,5,7,1,16,0.1428571492433548,0.5714285969734192,-0.9182693958282471,2.4285714626312256,2.853569269180298,1.9352947473526,2.475001096725464,1.7763195037841797,1
SITE12,60,35,8,17,1,16,0.05882352963089943,0.5882353186607361,-0.8317580223083496,2.2352941036224365,2.589571952819824,1.6603190898895264,2.007282257080078,1.0901036262512207,1
SITE13,133,81,16,36,1,16,0.3055555522441864,0.8055555820465088,-0.0653681755065918,1.5555555820465088,2.0949676036834717,2.0409501592318215,2.199418544769287,1.837478240331014,1
SITE14,34,24,4,6,5,20,0.1666666716337204,0.6666666865348816,-0.3333333730697632,1.6666666269302368,2.0,1.2947006225585938,2.1458613872528076,1.992710828781128,5
SITE15,74,46,10,18,1,16,0.3333333432674408,0.6111111044883728,-0.6371153593063354,2.444444417953491,3.316624879837036,2.179504632949829,1.8663135766983032,1.8811689615249634,1
SITE17,77,44,6,27,1,16,0.25925925374031067,0.7407407164573669,0.38828128576278687,1.4814814329147339,2.0727508068084717,2.141385873158773,2.1568026542663574,1.9353402256965637,1
SITE18,82,49,9,24,4,19,0.4166666567325592,0.8333333134651184,0.3026122450828552,1.375,2.0310096740722656,1.5282141864299774,0.9964503049850464,1.7882713079452515,4
