--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE241      25     0.3200     0.6800     -0.0797    1.9200    2.8844    
SITE244      12     0.4167     0.7500     0.6092     1.2500    1.8484    
SITE245      15     0.4000     0.6000     -0.2346    2.2667    3.2660    
SITE251      11     0.4545     0.7273     -0.0162    1.6364    2.6968    
SITE253      30     0.2333     0.7333     -0.0196    1.8333    2.5100    
SITE256      5      0.4000     0.8000     0.2672     1.4000    1.8439    
SITE258      12     0.3333     0.7500     -0.0556    1.6667    2.5166    
SITE259      9      0.4444     0.6667     -0.2885    2.4444    3.8006    
SITE261      15     0.4000     0.6667     0.0376     1.8000    2.8402    
SITE262      20     0.2500     0.8000     -0.3934    1.8500    2.7659    
SITE268      13     0.3846     0.5385     -0.3615    2.3077    3.3512    
SITE272      13     0.4615     0.7692     -0.0111    1.6923    2.9352    
SITE276      12     0.6667     0.9167     0.5806     0.6667    1.2247    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.8000     0.8000     0.0430     1.4000    3.1305    
SITE309      13     0.5385     0.8462     0.6161     1.1538    1.8605    
SITE310      7      0.4286     0.7143     0.0080     1.8571    2.7516    
SITE322      9      0.6667     0.7778     0.4530     0.8889    1.5635    
SITE323      9      0.6667     0.8889     0.7510     0.6667    1.2472    
SITE324      17     0.2941     0.5882     -0.0925    2.2353    3.1060    
SITE325      8      0.6250     0.8750     0.8478     0.7500    1.3229    
SITE327      16     0.5000     0.8750     0.6970     0.9375    1.6394    
SITE330      14     0.4286     0.7143     0.0993     1.6429    2.3755    
SITE331      7      0.5714     0.7143     0.5081     1.1429    1.9272    
SITE332      9      0.4444     0.7778     -0.3846    1.1111    1.7638    
SITE333      5      0.8000     0.8000     0.2500     0.6000    1.3416    
SITE334      12     0.5000     0.6667     0.4529     1.2500    1.9365    
SITE336      5      0.4000     0.8000     -0.8750    1.6000    2.1909    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.6250     0.1309     1.6250    2.2079    
SITE340      12     0.5000     0.8333     0.5937     1.0000    1.5275    
SITE343      12     0.5833     0.7500     0.5195     1.0000    1.7321    
SITE345      7      0.4286     0.8571     0.6140     1.0000    1.4639    
SITE353      8      0.7500     0.8750     0.7802     0.5000    1.1180    
SITE355      9      0.7778     0.8889     0.3968     0.8889    2.3570    
SITE358      14     0.3571     0.7143     0.2397     1.5000    2.1213    
