--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE240      14     0.1429     0.5714     -0.5873    2.5714    3.5051    
SITE241      25     0.2800     0.6800     -0.3393    2.0800    3.2125    
SITE244      12     0.0833     0.0833     -3.4702    5.7500    6.2517    
SITE245      15     0.4000     0.5333     -0.7901    2.8000    3.9328    
SITE251      11     0.1818     0.5455     -0.3464    2.3636    3.1042    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -0.5517    2.0000    2.6833    
SITE258      12     0.3333     0.7500     -0.0556    1.6667    2.5166    
SITE259      9      0.3333     0.3333     -1.3491    3.8889    5.1316    
SITE261      15     0.3333     0.6000     -0.4714    2.4667    3.5119    
SITE262      20     0.3000     0.7000     -0.4754    1.9000    2.8461    
SITE268      13     0.2308     0.6154     -0.2496    2.3077    3.2106    
SITE272      13     0.1538     0.3077     -2.1778    4.3077    5.2035    
SITE276      12     0.3333     0.7500     -0.0485    1.4167    1.9365    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.4615     0.6923     -0.0577    2.0000    3.0884    
SITE310      7      0.4286     0.7143     -0.5160    2.1429    3.4017    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.4444     0.6667     -0.5296    2.0000    3.0912    
SITE324      17     0.2941     0.4118     -1.4581    3.5882    4.6590    
SITE325      8      0.3750     0.6250     -0.5435    3.0000    4.2131    
SITE327      16     0.3125     0.5625     -0.6627    2.6250    3.8406    
SITE330      14     0.3571     0.6429     -0.1857    2.0000    2.7255    
SITE331      7      0.5714     0.7143     -0.1730    1.7143    2.9761    
SITE332      9      0.5556     0.7778     -0.3352    1.0000    1.7321    
SITE333      5      0.6000     0.8000     -0.4167    1.0000    1.8439    
SITE334      12     0.4167     0.4167     -1.5167    3.0833    4.1533    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.5000     -0.2033    2.0000    2.5981    
SITE340      12     0.3333     0.5000     -1.1620    2.5833    3.5237    
SITE343      12     0.3333     0.3333     -1.5228    3.0833    3.9686    
SITE345      7      0.5714     0.7143     0.0993     1.2857    2.2361    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.7778     0.8889     0.3968     0.8889    2.3570    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.6250     0.8750     0.3552     0.8750    1.8371    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.5000     -1.3003    3.0833    4.1130    
SITE367      8      0.7500     0.7500     0.5893     0.8750    1.7678    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.1111     0.3333     -0.7407    2.8889    3.2318    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.3750     -1.2425    3.1250    4.1982    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.2222     0.4444     -1.4464    3.0000    3.9016    
SITE386      11     0.6364     0.8182     0.6153     0.8182    1.5667    
SITE388      7      0.4286     0.5714     -1.2087    2.1429    3.0472    
SITE389      11     0.7273     0.9091     0.6275     0.7273    1.6514    
SITE397      14     0.5000     0.7857     0.4234     1.2143    2.0178    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.6667     0.6667     -0.0250    1.5000    2.6141    
SITE406      6      0.5000     0.8333     0.6717     1.0000    1.7321    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.3103     0.6207     -0.6051    1.9655    2.6846    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2667     0.8667     0.1308     1.4667    2.0331    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.1538     0.5385     -0.1127    2.1538    2.5115    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4000     0.6667     0.2318     1.6000    2.2509    
SITE430      9      0.4444     0.7778     0.2684     1.7778    3.0912    
SITE434      12     0.3333     0.5000     -0.2927    2.1667    2.9721    
SITE435      9      0.4444     0.5556     -1.0159    2.7778    4.1500    
SITE437      18     0.1667     0.6111     -0.0922    2.1667    2.6562    
SITE438      15     0.1333     0.5333     -1.0301    2.5333    3.0984    
SITE439      13     0.4615     0.6923     -0.2358    1.9231    3.1744    
SITE442      19     0.2632     0.6316     -0.1269    2.2632    2.9469    
SITE443      6      0.5000     0.5000     -0.7554    3.0000    4.5092    
SITE446      18     0.3333     0.6667     -0.6012    2.5000    3.7786    
SITE447      5      0.4000     0.8000     0.3692     1.4000    2.3238    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.2222     0.4444     -1.3023    3.7778    4.9441    
SITE460      4      0.2500     0.5000     0.0000     2.5000    3.0822    
