site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE4,28,15,1,12,4,19,0.25,0.9166666865348816,0.0,1.3333333730697632,1.632993221282959,1.9300919771194458,2.2027902603149414,1.8405520915985107,4
SITE5,40,19,5,16,1,16,0.0,0.6875,-0.350649356842041,2.0,2.207940101623535,2.3487069606781006,3.0647099018096924,2.6865234375,1
SITE6,47,29,9,9,3,18,0.0,0.4444444477558136,-1.941108226776123,4.55555534362793,5.607534408569336,2.0610644817352295,1.8927186727523804,2.071364641189575,3
SITE7,129,75,17,37,25,40,0.2432432472705841,0.6216216087341309,0.020902812480926514,1.9459459781646729,2.536224126815796,1.8556066036224366,1.2630111873149872,2.3802175521850586,25
SITE8,57,36,6,15,1,16,0.13333334028720856,0.5333333611488342,-0.5927419662475586,1.9333332777023315,2.294921875,2.360727310180664,2.493675708770752,2.028212547302246,1
SITE10,58,33,7,18,6,21,0.1111111119389534,0.6666666865348816,-0.31517505645751953,2.5,3.06412935256958,2.007049043973287,2.268754005432129,2.1623846888542175,6
SITE11,27,15,5,7,1,16,0.1428571492433548,0.4285714328289032,-2.769231081008911,3.4285714626312256,4.0,2.4874625205993652,2.4332401752471924,2.0430667400360107,1
SITE12,60,35,8,17,1,16,0.1764705926179886,0.529411792755127,-1.6672968864440918,2.470588207244873,3.1248528957366943,2.233158747355143,2.26656436920166,2.365635871887207,1
SITE13,133,81,16,36,1,16,0.2222222238779068,0.7222222089767456,-0.31485307216644287,1.8611111640930176,2.3273732662200928,2.221583286921183,2.8128371238708496,1.9451390504837036,1
SITE14,34,24,4,6,32,47,0.1666666716337204,0.6666666865348816,-0.3333333730697632,1.6666666269302368,2.0,1.6082599759101868,1.9675273895263672,2.115065097808838,32
SITE15,74,46,10,18,35,50,0.1111111119389534,0.3888888955116272,-1.1828203201293945,3.222222328186035,3.8297085762023926,1.7265652020772297,2.1992132663726807,2.6458206176757812,35
SITE17,77,44,6,27,2,17,0.07407407462596893,0.4444444477558136,-0.8773436546325684,3.0370371341705322,3.631140947341919,2.176740805308024,2.461839199066162,2.319171905517578,2
SITE18,82,49,9,24,9,24,0.4166666567325592,0.8333333134651184,0.020839393138885498,1.5416666269302368,2.406588077545166,1.9413440525531769,1.3231885433197021,2.267213821411133,9
SITE19,198,124,27,47,11,26,0.12765957415103912,0.6808510422706604,0.0261957049369812,1.7659574747085571,2.1976776123046875,1.7679799646139145,1.8292328715324402,2.383096218109131,11
SITE20,33,16,5,12,1,16,0.25,0.5833333134651184,0.0826447606086731,2.0,2.4832773208618164,2.2436394691467285,3.0341858863830566,2.6455085277557373,1
SITE21,61,40,8,13,1,16,0.23076923191547394,0.6153846383094788,-0.6139154434204102,2.615384578704834,3.7416574954986572,2.1892038583755493,3.258310079574585,2.228628635406494,1
SITE22,281,172,46,63,55,60,0.3174603283405304,0.8730158805847168,-0.23064935207366943,1.2857142686843872,1.838736653327942,1.3050449219616977,1.3803275028864543,1.9746127128601074,55
